Leader Name,Voter County,Voter Constituency,Age Group,Gender,Education,Employment,Voter Status,Party Pref,Transparency,Development,Accountability,Accessibility,Integrity,Vote 2027
"George Koimburi","Kiambu","Juja","26–35","Male","Undergraduate","Private Sector","-","-",0,0,0,0,0,notsure
"Kimani Wamatangi","Kiambu","Juja","26–35","Male","Undergraduate","Private Sector","-","-",0,0,0,0,0,no
"William Samoei Ruto","Kiambu","Juja","26–35","Male","Undergraduate","Private Sector","-","-",6,6,6,6,6,no
"Johnson Sakaja","Nairobi","Embakasi South","36–45","Male","Secondary/KCSE","Student","-","-",0,0,0,0,0,no
"William Samoei Ruto","Nairobi","Embakasi South","36–45","Male","Secondary/KCSE","Student","-","-",6,6,6,6,6,no
"Makali Mulu","Kitui","Kitui Central","18–25","Female","Undergraduate","Student","-","-",0,0,0,0,0,notsure
"Julius Malombe","Kitui","Kitui Central","18–25","Female","Undergraduate","Student","-","-",0,0,0,0,0,yes
"William Samoei Ruto","Kitui","Kitui Central","18–25","Female","Undergraduate","Student","-","-",6,6,6,6,6,no
"William Samoei Ruto","Nyeri","Mathira","18–25","Male","Certificate/Diploma","Student","-","-",6,6,6,6,6,no
"Simon King'ara","Kiambu","Ruiru","18–25","Female","Secondary/KCSE","Unemployed","-","-",0,0,0,0,0,no
"Kimani Wamatangi","Kiambu","Ruiru","18–25","Female","Secondary/KCSE","Unemployed","-","-",0,0,0,0,0,-
"Mutula Kilonzo Jr","Makueni","Makueni","18–25","Male","Undergraduate","Unemployed","-","-",0,0,0,0,0,yes
"Kimani Wamatangi","Kiambu","Juja","18–25","Female","Undergraduate","Student","-","-",0,0,0,0,0,yes
"William Samoei Ruto","Kiambu","Juja","18–25","Female","Undergraduate","Student","-","-",3,4,3,4,4,no
"Wambugu Wainaina","Nyeri","Othaya","26–35","Male","Undergraduate","Student","-","-",0,0,0,0,0,no
"Chege Njuguna","Murang'a","Kandara","18–25","Male","Secondary/KCSE","Private Sector","-","-",0,0,0,0,0,no
"Irungu Kang'ata","Murang'a","Kandara","18–25","Male","Secondary/KCSE","Private Sector","-","-",0,0,0,0,0,yes
"Mutahi Kahiga","Nyeri","Othaya","26–35","Male","Undergraduate","Student","-","-",0,0,0,0,0,no
"William Samoei Ruto","Murang'a","Kandara","18–25","Male","Secondary/KCSE","Private Sector","-","-",3,3,3,3,3,no
"William Samoei Ruto","Nyeri","Othaya","26–35","Male","Undergraduate","Student","-","-",2,2,9,2,10,yes
"Chege Njuguna","Murang'a","Kandara","46–55","Male","Undergraduate","Public Sector","-","-",0,0,0,0,0,no
"Irungu Kang'ata","Murang'a","Kandara","46–55","Male","Undergraduate","Public Sector","-","-",0,0,0,0,0,no
"William Samoei Ruto","Murang'a","Kandara","46–55","Male","Undergraduate","Public Sector","-","-",7,8,9,9,9,no
"William Samoei Ruto","Murang'a","Kandara","26–35","Female","Primary/KCPE","Private Sector","-","-",8,10,6,9,10,yes
"Kibet Komingoi","Kericho","Bureti","36–45","Female","Certificate/Diploma","Private Sector","-","-",0,0,0,0,0,yes
"William Samoei Ruto","Kericho","Bureti","36–45","Female","Certificate/Diploma","Private Sector","-","-",10,6,5,10,8,no